,sheet_name,Player_Name,Opponent,Game#,Result,metric,val
748,2023-11-06,"#0 Smith, Pjay",NGU,1.0,W,EFG%,0.4
749,2023-11-10,"#0 Smith, Pjay",Belmont,2.0,W,EFG%,0.625
750,2023-11-16,"#0 Smith, Pjay",(N)Liberty,3.0,L,EFG%,0.5434782608695652
751,2023-11-17,"#0 Smith, Pjay",(N)Coastal,4.0,W,EFG%,0.532258064516129
752,2023-11-19,"#0 Smith, Pjay",(N)Wyoming,5.0,L,EFG%,0.5588235294117647
753,2023-11-25,"#0 Smith, Pjay",@UAB,6.0,L,EFG%,0.5952380952380952
754,2023-11-28,"#0 Smith, Pjay",SC State,7.0,W,EFG%,0.6730769230769231
755,2023-12-02,"#0 Smith, Pjay",@Princeton,8.0,L,EFG%,0.6440677966101694
756,2023-12-04,"#0 Smith, Pjay",@Arkansas,9.0,L,EFG%,0.6076923076923076
757,2023-12-09,"#0 Smith, Pjay",Bob Jones,10.0,W,EFG%,0.6
758,2023-12-14,"#0 Smith, Pjay",@Tulane,11.0,L,EFG%,0.6210526315789474
759,2023-12-19,"#0 Smith, Pjay",Presbyterian,12.0,W,EFG%,0.5833333333333334
760,2023-12-30,"#0 Smith, Pjay",Anderson,13.0,L,EFG%,0.559322033898305
761,2024-01-03,"#0 Smith, Pjay",@UNCG,14.0,L,EFG%,0.5398550724637681
762,2024-01-06,"#0 Smith, Pjay",@Chattanooga,15.0,L,EFG%,0.5283687943262412
763,2024-01-10,"#0 Smith, Pjay",Citadel,16.0,W,EFG%,0.5230263157894737
764,2024-01-13,"#0 Smith, Pjay",ETSU,17.0,W,EFG%,0.5162337662337663
765,2023-11-06,"#1 Pegues, JP",,,,EFG%,
766,2023-11-10,"#1 Pegues, JP",Belmont,2.0,W,EFG%,0.6538461538461539
767,2023-11-16,"#1 Pegues, JP",(N)Liberty,3.0,L,EFG%,0.5576923076923077
768,2023-11-17,"#1 Pegues, JP",(N)Coastal,4.0,W,EFG%,0.6029411764705882
769,2023-11-19,"#1 Pegues, JP",(N)Wyoming,5.0,L,EFG%,0.5454545454545454
770,2023-11-25,"#1 Pegues, JP",@UAB,6.0,L,EFG%,0.5
771,2023-11-28,"#1 Pegues, JP",SC State,7.0,W,EFG%,0.5
772,2023-12-02,"#1 Pegues, JP",@Princeton,8.0,L,EFG%,0.5
773,2023-12-04,"#1 Pegues, JP",@Arkansas,9.0,L,EFG%,0.4846938775510204
774,2023-12-09,"#1 Pegues, JP",Bob Jones,10.0,W,EFG%,0.5178571428571429
775,2023-12-14,"#1 Pegues, JP",@Tulane,11.0,L,EFG%,0.5265151515151515
776,2023-12-19,"#1 Pegues, JP",Presbyterian,12.0,W,EFG%,0.5451388888888888
777,2023-12-30,"#1 Pegues, JP",,,,EFG%,0.5451388888888888
778,2024-01-03,"#1 Pegues, JP",,,,EFG%,0.5451388888888888
779,2024-01-06,"#1 Pegues, JP",@Chattanooga,15.0,L,EFG%,0.5121212121212121
780,2024-01-10,"#1 Pegues, JP",Citadel,16.0,W,EFG%,0.514367816091954
